id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,daterec,datelast,srcgeom,note
"6",Banksia Pine Sanctuary,"Pine of Banks Sanctuary; Banks' Pine Grove Sanctuary",Բանքսի սոճու պուրակ արգելավայր,,hye,State Wildlife Sanctuary,Բանքսի սոճու պուրակ արգելավայր,ARM,,1959-01-29,2023-09-10,pad-armenia,
"21",Juniper Sparse Forest Sanctuary,"Thinly Growing Juniper Forest; Juniper Woodlands Sanctuary",Գիհու նոսրանտառային արգելավայր,,hye,State Wildlife Sanctuary,Գիհու նոսրանտառային արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,
"19",Jermuk Forest Sanctuary,,Ջերմուկի անտառային արգելավայր,,hye,State Wildlife Sanctuary,Ջերմուկի անտառային արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,
"20",Jermuk Hydrological Sanctuary,Jermuk Hydrological Park,Ջերմուկի ջրաբանական արգելավայր,,hye,State Wildlife Sanctuary,Ջերմուկի ջրաբանական արգելավայր,ARM,,2009-09-17,2023-09-10,pad-armenia,
"2",Aragats Alpine Sanctuary,Alpian of Aragats,Արագածի ալպյան արգելավայր,,hye,State Wildlife Sanctuary,Արագածի ալպյան արգելավայր,ARM,,1959-01-29,2023-09-10,pad-armenia,
"23",Khosrov Forest State Reserve,,Խոսրովի անտառ արգելոց,,hye,National Park,Խոսրովի անտառ արգելոց,ARM,,"1958",2023-09-10,pad-armenia,
"36",Yeghegnadzor Sanctuary,Eghegnadzor Sanctuary,Եղեգնաձորի արգելավայր,,hye,State Wildlife Sanctuary,Եղեգնաձորի արգելավայր,ARM,,1971-11-16,2023-09-10,pad-armenia,
"22",Khor Virap Sanctuary,,Խոր Վիրապ արգելավայր,,hye,State Wildlife Sanctuary,Խոր Վիրապ արգելավայր,ARM,,2007-01-25,2023-09-10,pad-armenia,
"13",Goris Sanctuary,,Գորիսի արգելավայր,,hye,State Wildlife Sanctuary,Գորիսի արգելավայր,ARM,,1972-11-06,2023-09-10,pad-armenia,
"25",Lake Arpi National Park,,Արփի լճի ազգային պարկ,,hye,National Park,Արփի լճի ազգային պարկ,ARM,,"2009",2023-09-10,pad-armenia,
"1",Akhnabad Grove Sanctuary,"Yew of Akhnabat; Akhnabad Taxus Grove Sanctuary",Ախնաբադի կենու պուրակ արգելավայր,,hye,State Wildlife Sanctuary,Ախնաբադի կենու պուրակ արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,
"34",Vanadzor Botanical Garden,,Վանաձորի բուսաբանական այգի,,hye,Botanical Garden,Վանաձորի բուսաբանական այգի,ARM,,"1935",2023-09-10,pad-armenia,
"31",Sevan National Park,,Սևան ազգային պարկ,,hye,National Park,Սևան ազգային պարկ,ARM,,"1978",2023-09-10,pad-armenia,
"11",Getik Sanctuary,,Գետիկի արգելավայր,,hye,State Wildlife Sanctuary,Գետիկի արգելավայր,ARM,,1971-04-09,2023-09-10,pad-armenia,
"7",Boghakar Sanctuary,Boghaqar Sanctuary,Բողաքարի արգելավայր,,hye,State Wildlife Sanctuary,Բողաքարի արգելավայր,ARM,,"1989",2023-09-10,pad-armenia,
"38",Zangezur Biosphere Complex Sanctuary,Zangezur Sanctuary,Զանգեզուր արգելավայր,,hye,State Wildlife Sanctuary,Զանգեզուր արգելավայր,ARM,,2009-10-15,2023-09-10,pad-armenia,
"9",Erebuni State Reserve,,Էրեբունի արգելոց,,hye,National Park,Էրեբունի արգելոց,ARM,,"1981",2023-09-10,pad-armenia,
"12",Goravan Sands Sanctuary,Sands of Goravan Sanctuary,Գոռավանի ավազուտներ արգելավայր,,hye,State Wildlife Sanctuary,Գոռավանի ավազուտներ արգելավայր,ARM,,1959-01-29,2023-09-10,pad-armenia,
"15",Hankavan Hydrological Sanctuary,Haqavan Hydrological Sanctuary,Հանքավանի ջրաբանական արգելավայր,,hye,State Wildlife Sanctuary,Հանքավանի ջրաբանական արգելավայր,ARM,,2009-09-17,2023-09-10,pad-armenia,
"5",Arzakan-Meghradzor Sanctuary,,Արզական-Մեղրաձորի արգելավայր,,hye,State Wildlife Sanctuary,Արզական-Մեղրաձորի արգելավայր,ARM,,1971-04-09,2023-09-10,pad-armenia,
"16",Herher Open Woodland Sanctuary,Herher Thinly Growing Forest,Հերհերի նոսրանտառային արգելավայր,,hye,State Wildlife Sanctuary,Հերհերի նոսրանտառային արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,
"35",Vordan Karmir Sanctuary,,Որդան կարմիր արգելավայր,,hye,State Wildlife Sanctuary,Որդան կարմիր արգելավայր,ARM,,1987-02-02,2023-09-10,pad-armenia,
"27",Margahovit Sanctuary,,Մարգահովիտի արգելավայր,,hye,State Wildlife Sanctuary,Մարգահովիտի արգելավայր,ARM,,1971-04-09,2023-09-10,pad-armenia,
"39",Zikatar Sanctuary,,Զիկատար արգելավայր,,hye,State Wildlife Sanctuary,Զիկատար արգելավայր,ARM,,2010-04-08,2023-09-10,pad-armenia,
"26",Lake Sev Sanctuary,"Sev Lich Santuary; Sev Lake Sanctuary",Սև լիճ արգելավայր,,hye,State Wildlife Sanctuary,Սև լիճ արգելավայր,ARM,,"2001",2023-09-10,pad-armenia,
"3",Areviq National Park,Arevik National Park,Արևիկ ազգային պարկ,,hye,National Park,Արևիկ ազգային պարկ,ARM,,"2009",2023-09-10,pad-armenia,
"28",Plane Grove Sanctuary,Sycamore Park Sanctuary,Սոսու պուրակ արգելավայր,,hye,State Wildlife Sanctuary,Սոսու պուրակ արգելավայր,ARM,,"1958",2023-09-10,pad-armenia,Inside of Shikahogh State Reserve.
"29",Rhododendron Caucasicum Sanctuary,,Կովկասյան մրտավարդենու արգելավայր,,hye,State Wildlife Sanctuary,Կովկասյան մրտավարդենու արգելավայր,ARM,,1959-01-29,2023-09-10,pad-armenia,
"10",Gandzaqar Sanctuary,Gandzakar Sanctuary,Գանձաքարի արգելավայր,,hye,State Wildlife Sanctuary,Գանձաքարի արգելավայր,ARM,,1971-04-09,2023-09-10,pad-armenia,
"14",Gyulagark Sanctuary,,Գյուլագարակի արգելավայր,,hye,State Wildlife Sanctuary,Գյուլագարակի արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,
"8",Dilijan National Park,,Դիլիջան ազգային պարկ,,hye,National Park,Դիլիջան ազգային պարկ,ARM,,"2002",2023-09-10,pad-armenia,
"37",Yerevan Botanical Garden,,Երևանի բուսաբանական այգի,,hye,Botanical Garden,Երևանի բուսաբանական այգի,ARM,,"1935",2023-09-10,pad-armenia,
"32",Shikahogh State Reserve,,Շիկահողի արգելոց,,hye,National Park,Շիկահողի արգելոց,ARM,,"1958",2023-09-10,pad-armenia,
"18",Ijevan Sanctuary,Ijevan State Sanctuary,Իջևանի արգելավայր,,hye,State Wildlife Sanctuary,Իջևանի արգելավայր,ARM,,1971-04-09,2023-09-10,pad-armenia,
"4",Arjatkhleni Hazelnut Sanctuary,,Արջատխլենու արգելավայր,,hye,State Wildlife Sanctuary,Արջատխլենու արգելավայր,ARM,,1958-09-13,2023-09-10,pad-armenia,Arjatkhleni Hazelnut State Sanctuary is included in the area of Ijevan State Sanctuary.
"17",Ijevan Arboretum,Ijevan Dendropark,Իջևանի դենդրոպարկ,,hye,Botanical Garden,Իջևանի դենդրոպարկ,ARM,,"1962",2023-09-10,pad-armenia,
"24",Khustup Sanctuary,,Խուստուփ արգելավայր,,hye,State Wildlife Sanctuary,Խուստուփ արգելավայր,ARM,,"2014",2023-09-10,pad-armenia,
"30",Sevan Botanical Garden,,Սևանի բուսաբանական այգի,,hye,Botanical Garden,Սևանի բուսաբանական այգի,ARM,,"1944",2023-09-10,pad-armenia,
"33",Stepanavan Dendropark,,Սոճուտ բուսաբանական այգի,,hye,Botanical Garden,Սոճուտ բուսաբանական այգի,ARM,,"1931",2023-09-10,pad-armenia,
